period	bill	is_eu
4	8	0
4	9	0
4	12	0
4	19	0
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
4	25	0
4	28	0
4	29	0
4	38	0
4	39	0
4	40	0
4	41	0
4	43	0
4	44	0
4	45	0
4	46	0
4	49	0
4	50	0
4	51	1
4	52	1
4	53	1
4	54	0
4	55	1
4	59	0
4	60	0
4	61	1
4	62	1
4	63	1
4	65	0
4	66	0
4	67	0
4	68	0
4	69	0
4	70	0
4	71	0
4	72	1
4	73	0
4	74	0
4	76	0
4	81	0
4	85	0
4	87	1
4	89	0
4	90	0
4	91	0
4	92	0
4	95	0
4	96	0
4	97	0
4	98	0
4	99	0
4	101	0
4	104	1
4	105	0
4	107	0
4	108	0
4	109	0
4	114	0
4	115	0
4	116	0
4	117	1
4	118	0
4	120	1
4	121	0
4	122	0
4	123	0
4	124	1
4	126	1
4	127	1
4	128	1
4	129	1
4	130	1
4	131	1
4	132	1
4	133	0
4	134	0
4	135	0
4	139	0
4	148	0
4	150	0
4	151	0
4	152	0
4	153	0
4	158	0
4	161	0
4	162	0
4	165	1
4	170	0
4	171	0
4	172	0
4	188	0
4	190	0
4	191	0
4	192	0
4	193	0
4	195	0
4	196	0
4	197	0
4	200	1
4	201	0
4	202	1
4	203	1
4	204	0
4	205	1
4	206	0
4	207	1
4	208	0
4	209	0
4	210	0
4	211	1
4	212	1
4	213	1
4	214	1
4	215	1
4	216	0
4	218	0
4	220	0
4	228	0
4	229	0
4	230	0
4	231	0
4	232	0
4	234	0
4	236	1
4	239	1
4	241	0
4	242	1
4	243	0
4	244	0
4	245	0
4	249	0
4	252	1
4	253	0
4	254	0
4	255	0
4	256	1
4	257	1
4	259	1
4	260	0
4	261	1
4	262	0
4	263	0
4	264	0
4	265	0
4	266	0
4	267	1
4	268	1
4	269	0
4	270	0
4	272	0
4	274	0
4	275	0
4	281	0
4	284	0
4	288	1
4	289	0
4	292	0
4	293	0
4	294	0
4	295	0
4	296	1
4	297	0
4	298	0
4	299	0
4	300	0
4	301	0
4	303	1
4	304	1
4	305	1
4	306	1
4	307	0
4	308	0
4	309	1
4	310	0
4	311	1
4	312	1
4	313	0
4	314	0
4	316	1
4	317	1
4	318	1
4	321	0
4	322	0
4	325	0
4	330	0
4	331	0
4	336	0
4	337	0
4	341	1
4	342	0
4	343	1
4	344	0
4	345	0
4	348	0
4	349	0
4	350	1
4	351	0
4	352	1
4	353	0
4	354	1
4	355	0
4	356	1
4	357	1
4	358	1
4	359	1
4	360	1
4	362	0
4	363	1
4	364	1
4	365	0
4	366	0
4	370	0
4	373	0
4	374	0
4	375	0
4	376	0
4	377	0
4	378	0
4	379	0
4	387	0
4	388	0
4	391	0
4	392	0
4	393	0
4	394	0
4	395	0
4	396	0
4	397	0
4	399	0
4	400	1
4	401	1
4	402	1
4	406	0
4	410	0
4	411	0
4	412	0
4	413	0
4	414	0
4	415	0
4	416	0
4	417	0
4	418	0
4	419	0
4	420	0
4	424	1
4	426	0
4	428	0
4	429	1
4	433	0
4	434	1
4	435	1
4	437	0
4	438	0
4	444	0
4	445	1
4	446	1
4	447	1
4	450	0
4	451	0
4	459	1
4	461	0
4	465	1
4	466	0
4	467	0
4	471	0
4	473	0
4	474	1
4	475	0
4	477	0
4	478	0
4	480	0
4	481	0
4	483	0
4	484	0
4	485	0
4	488	1
4	489	1
4	495	0
4	496	1
4	497	1
4	498	1
4	499	0
4	500	1
4	501	1
4	502	0
4	504	1
4	505	0
4	506	0
4	507	1
4	508	1
4	509	1
4	510	1
4	512	1
4	513	1
4	514	1
4	516	0
4	517	1
4	518	1
4	519	0
4	520	1
4	521	1
4	522	1
4	523	1
4	524	1
4	525	1
4	526	0
4	527	1
4	528	1
4	529	1
4	530	1
4	531	0
4	532	0
4	533	1
4	534	0
4	536	0
4	540	0
4	542	0
4	543	0
4	550	0
4	551	0
4	553	0
4	554	0
4	555	0
4	556	0
4	559	0
4	560	0
4	563	0
4	564	0
4	566	0
4	570	0
4	572	0
4	573	0
4	574	1
4	575	1
4	576	1
4	579	1
4	580	0
4	582	0
4	589	0
4	593	0
4	595	0
4	596	1
4	601	0
4	602	1
4	603	0
4	604	0
4	605	0
4	607	0
4	609	0
4	611	0
4	612	0
4	615	1
4	622	0
4	625	0
4	626	0
4	627	0
4	629	1
4	630	0
4	631	0
4	632	0
4	634	0
4	635	0
4	636	0
4	637	0
4	638	0
4	639	1
4	640	0
4	641	1
4	642	1
4	643	0
4	644	0
4	645	1
4	646	1
4	647	1
4	648	1
4	649	0
4	650	0
4	658	0
4	661	0
4	662	0
4	663	0
4	664	0
4	669	0
4	670	0
4	671	0
4	672	0
4	673	0
4	674	0
4	677	0
4	678	0
4	679	0
4	680	0
4	681	0
4	682	0
4	683	0
4	684	0
4	685	0
4	686	0
4	687	1
4	688	1
4	689	1
4	690	1
4	691	1
4	692	1
4	693	1
4	707	0
4	708	0
4	709	0
4	714	0
4	715	0
4	718	1
4	720	0
4	721	0
4	722	0
4	725	0
4	728	0
4	730	0
4	735	0
4	737	0
4	740	0
4	741	1
4	744	1
