id_poslanec	voter_id	group_id	term
627	16	153	4
628	5252	153	4
629	386	153	4
630	419	153	4
631	357	155	4
632	335	155	4
633	263	155	4
634	378	155	4
635	421	155	4
636	429	155	4
637	31	154	4
638	100	595	4
639	417	595	4
640	349	153	4
641	39	153	4
642	454	153	4
643	422	153	4
644	353	155	4
645	360	155	4
646	5213	155	4
647	67	155	4
648	244	155	4
649	164	155	4
650	280	155	4
651	36	154	4
652	311	154	4
653	54	595	4
654	403	595	4
655	340	595	4
656	225	153	4
657	241	153	4
658	196	153	4
659	347	155	4
660	356	155	4
661	430	155	4
662	285	155	4
663	303	154	4
664	377	595	4
665	302	595	4
666	210	153	4
667	211	153	4
668	348	155	4
669	269	155	4
670	310	154	4
671	392	595	4
672	247	153	4
673	366	154	4
674	344	153	4
675	215	153	4
676	220	153	4
677	226	153	4
678	405	155	4
679	282	155	4
680	19	154	4
681	306	154	4
682	379	154	4
683	389	595	4
684	77	153	4
685	374	155	4
686	206	154	4
687	122	153	4
688	4737	153	4
689	236	153	4
690	261	155	4
691	5253	155	4
692	407	155	4
693	416	595	4
694	396	153	4
695	246	153	4
696	110	155	4
697	400	155	4
698	406	155	4
699	99	154	4
700	398	595	4
701	193	595	4
702	234	153	4
703	5217	153	4
704	401	155	4
705	270	155	4
706	309	154	4
707	63	595	4
708	64	595	4
709	382	153	4
710	235	153	4
711	237	153	4
712	239	153	4
713	249	153	4
714	345	155	4
715	275	155	4
716	415	155	4
717	423	155	4
718	305	154	4
719	312	154	4
720	295	595	4
721	333	595	4
722	420	595	4
723	209	153	4
724	367	153	4
725	219	153	4
726	250	153	4
727	358	155	4
728	266	155	4
729	425	154	4
730	390	595	4
731	243	153	4
732	111	155	4
733	273	155	4
734	431	155	4
735	301	595	4
736	5120	153	4
737	227	153	4
738	124	153	4
739	248	153	4
740	252	153	4
741	371	155	4
742	372	155	4
743	383	155	4
744	437	155	4
745	277	155	4
746	304	154	4
747	136	154	4
748	317	154	4
749	297	595	4
750	450	153	4
751	5254	153	4
752	5255	153	4
753	5256	155	4
754	5257	155	4
755	5258	155	4
756	5259	155	4
757	5260	154	4
758	5261	154	4
759	5263	153	4
760	5264	153	4
761	5265	153	4
762	5266	153	4
763	5267	154	4
764	4778	154	4
765	5268	154	4
766	5269	153	4
767	5270	154	4
768	5271	153	4
769	5272	153	4
770	5273	155	4
771	5274	154	4
772	5275	154	4
773	5276	153	4
774	5277	155	4
775	5278	155	4
776	5279	153	4
777	5280	155	4
778	5281	155	4
779	5282	154	4
780	5283	153	4
781	5284	153	4
782	5285	155	4
783	5286	155	4
784	5288	153	4
785	5289	154	4
786	5290	154	4
787	5291	595	4
788	5292	153	4
789	5293	154	4
790	354	153	4
791	5294	153	4
792	5295	154	4
793	5296	154	4
794	5297	153	4
795	5298	153	4
796	5299	153	4
797	5300	155	4
798	5301	155	4
799	5302	154	4
800	5303	154	4
801	5304	154	4
802	5305	595	4
803	5306	155	4
804	5307	154	4
805	5308	154	4
806	5309	595	4
807	230	153	4
808	5310	153	4
809	5311	153	4
810	5312	154	4
811	5313	154	4
812	5314	595	4
813	5315	595	4
814	5316	153	4
815	5317	153	4
816	5318	153	4
817	5319	153	4
818	5320	153	4
819	5321	154	4
820	5322	154	4
821	5323	595	4
822	5324	595	4
823	5325	595	4
824	5224	595	4
825	5262	595	4
826	5287	595	4
827	5328	154	4
828	412	155	4
829	5342	153	4
830	143	595	4
831	5357	595	4
832	218	153	4
833	5365	595	4
834	5375	155	4
835	381	156	4
836	5376	155	4
837	4	155	4
838	5377	155	4
839	5378	155	4
840	5379	155	4
841	426	153	4
842	5380	154	4
843	361	154	4
844	5381	154	4
845	5385	153	4
846	5386	153	4
847	5387	153	4
848	410	153	4
849	411	153	4
850	5388	153	4
851	12	153	4
852	363	153	4
853	5395	153	4
854	5401	153	4
855	393	153	4
856	5407	153	4
857	4527	154	4
858	1919	155	4
859	362	153	4
860	5414	153	4
861	5415	153	4
862	5429	153	4
863	5430	153	4
864	295	151	5
865	344	153	5
866	5444	153	5
867	345	155	5
868	5379	155	5
869	5302	154	5
870	312	154	5
871	4	155	5
872	5295	154	5
873	5445	155	5
874	5446	155	5
875	5447	153	5
876	5342	153	5
877	5270	154	5
878	5256	155	5
879	5383	153	5
880	5448	155	5
881	441	749	5
882	5449	151	5
883	5450	155	5
884	5451	153	5
885	5307	154	5
886	354	153	5
887	5452	153	5
888	5263	153	5
889	5453	155	5
890	5454	153	5
891	5455	155	5
892	356	155	5
893	5261	154	5
894	5456	153	5
895	5257	155	5
896	360	155	5
897	5457	153	5
898	31	154	5
899	5458	153	5
900	5459	155	5
901	5267	154	5
902	303	154	5
903	5460	155	5
904	1296	155	5
905	305	154	5
906	4778	154	5
907	363	153	5
908	5461	154	5
909	5462	153	5
910	5291	151	5
911	5285	155	5
912	5297	153	5
913	5463	155	5
914	366	154	5
915	261	155	5
916	5314	151	5
917	5464	155	5
918	371	155	5
919	5465	153	5
920	372	155	5
921	5466	749	5
922	5467	749	5
923	5402	153	5
924	375	155	5
925	374	155	5
926	218	153	5
927	5468	155	5
928	5469	153	5
929	377	151	5
930	64	151	5
931	335	155	5
932	67	155	5
933	5470	155	5
934	68	153	5
935	5375	155	5
936	5321	154	5
937	5313	154	5
938	5471	153	5
939	309	154	5
940	383	155	5
941	5279	153	5
942	5472	153	5
943	5385	153	5
944	5306	155	5
945	5473	155	5
946	386	153	5
947	5407	153	5
948	5474	153	5
949	390	151	5
950	266	155	5
951	5475	153	5
952	5476	155	5
953	5477	153	5
954	5274	154	5
955	5478	155	5
956	5479	155	5
957	5480	749	5
958	5481	155	5
959	5258	155	5
960	5290	154	5
961	5328	154	5
962	396	153	5
963	5414	153	5
964	230	153	5
965	5300	155	5
966	5482	153	5
967	5317	153	5
968	5308	154	5
969	5483	155	5
970	5484	155	5
971	111	155	5
972	401	155	5
973	5485	153	5
974	5259	155	5
975	5486	153	5
976	5322	154	5
977	122	153	5
978	269	155	5
979	406	155	5
980	340	151	5
981	5384	153	5
982	5277	155	5
983	410	153	5
984	5487	153	5
985	5488	155	5
986	273	155	5
987	5489	155	5
988	275	155	5
989	5490	153	5
990	5491	153	5
991	5492	155	5
992	5273	155	5
993	5493	155	5
994	5494	749	5
995	5495	155	5
996	5318	153	5
997	5496	155	5
998	5406	153	5
999	5497	155	5
1000	5498	155	5
1001	5499	155	5
1002	5500	155	5
1003	5265	153	5
1004	437	155	5
1005	5310	153	5
1006	277	155	5
1007	143	151	5
1008	5378	155	5
1009	5501	155	5
1010	235	153	5
1011	5311	153	5
1012	236	153	5
1013	5502	154	5
1014	237	153	5
1015	5503	153	5
1016	415	155	5
1017	5278	155	5
1018	5504	153	5
1019	416	151	5
1020	5255	153	5
1021	5505	155	5
1022	5320	153	5
1023	5301	155	5
1024	5282	154	5
1025	5506	154	5
1026	5326	151	5
1027	5507	153	5
1028	239	153	5
1029	5508	153	5
1030	5509	155	5
1031	301	151	5
1032	5510	155	5
1033	5511	155	5
1034	419	153	5
1035	5512	155	5
1036	420	151	5
1037	421	155	5
1038	5513	153	5
1039	5514	153	5
1040	5376	155	5
1041	164	155	5
1042	5515	155	5
1043	5516	155	5
1044	422	153	5
1045	5517	153	5
1046	5292	153	5
1047	5519	153	5
1048	280	155	5
1049	5520	155	5
1050	250	153	5
1051	426	153	5
1052	282	155	5
1053	4527	154	5
1054	5268	154	5
1055	5272	153	5
1056	5521	153	5
1057	430	155	5
1058	252	153	5
1059	5415	153	5
1060	5522	153	5
1061	5294	153	5
1062	5523	749	5
1063	5298	153	5
1064	5562	153	5
1065	5766	155	5
1066	5767	155	5
1067	5768	154	5
1068	5388	153	5
1069	5769	153	5
