"tag:id","tag:name","period","bill:number","bill:eu"
"4374","kouøení",4,8,0
"2863","nekalá reklama",4,8,0
"3581","omezování soutìe",4,8,0
"2862","propagace",4,8,0
"1395","tabákovı prùmysl",4,8,0
"2479","zdravotní politika",4,8,0
"5181","ochrana dat",4,9,0
"5595","osobní údaje",4,9,0
"513","právo na informace",4,9,0
"4626","uivatel informací",4,9,0
"453","zpøístupòování informací",4,9,0
"3749","dùlní provoz",4,12,0
"5682","ekonomické nástroje ivotního prostøedí",4,12,0
"1497","regionální investice",4,12,0
"1018","veøejné finance",4,12,0
"68","místní orgány státní správy",4,19,0
"4503","pøevod vlastnictví",4,19,0
"4442","stavební pozemek",4,19,0
"2812","veøejnı majetek",4,19,0
"5853","vztah mezi státem a regionem",4,19,0
"4445","zemìdìlská pùda",4,19,0
"5855","dìlba pravomocí",4,20,0
"5805","hlava státu",4,20,0
"5959","premiér",4,20,0
"2597","promlèení vıkonu trestu",4,20,0
"148","ústava",4,20,0
"3076","pomoc obìtem neštìstí",4,21,0
"1440","povodeò",4,21,0
"4503","pøevod vlastnictví",4,21,0
"413","pøírodní katastrofa",4,21,0
"3932","privatizace",4,21,0
"5052","státní rozpoèet",4,21,0
"2812","veøejnı majetek",4,21,0
"1678","koneènı volební seznam",4,22,0
"699","místní volby",4,22,0
"355","ohlášení kandidatury",4,22,0
"2186","organizace voleb",4,22,0
"1690","byt",4,23,0
"1440","povodeò",4,23,0
"4503","pøevod vlastnictví",4,23,0
"3879","stavebnictví",4,23,0
"2812","veøejnı majetek",4,23,0
"2799","návrh rozpoètu",4,24,0
"3076","pomoc obìtem neštìstí",4,24,0
"1440","povodeò",4,24,0
"5052","státní rozpoèet",4,24,0
"1959","úprava rozpoètu",4,24,0
"398","mimorozpoètové vıdaje",4,25,0
"2799","návrh rozpoètu",4,25,0
"3076","pomoc obìtem neštìstí",4,25,0
"1440","povodeò",4,25,0
"5052","státní rozpoèet",4,25,0
"1929","chov zvíøat",4,28,0
"5396","lov",4,28,0
"1167","lovná zvìø",4,28,0
"3128","myslivecká legislativa",4,28,0
"2830","ochrana zvíøat",4,28,0
"3009","systém vlastnictví pùdy",4,28,0
"362","administrativní èlenìní",4,29,0
"3031","region",4,29,0
"5502","regionální celek",4,29,0
